locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(united_arab_emirates,russia) 0.192235 5
neighborOf(united_arab_emirates,syria) 0.155722 6
neighborOf(united_arab_emirates,azerbaijan) 0.154943 7
neighborOf(united_arab_emirates,israel) 0.152064 8
neighborOf(united_arab_emirates,jordan) 0.151962 9
neighborOf(united_arab_emirates,montenegro) 0.151181 10
neighborOf(united_kingdom,russia) 0.263725 2
neighborOf(united_kingdom,estonia) 0.167340 3
neighborOf(united_kingdom,latvia) 0.160811 4
neighborOf(united_kingdom,sudan) 0.159594 5
neighborOf(united_kingdom,belarus) 0.159318 6
neighborOf(united_kingdom,afghanistan) 0.146026 7
neighborOf(united_kingdom,poland) 0.145565 8
neighborOf(united_kingdom,mongolia) 0.137003 9
neighborOf(united_kingdom,kosovo) 0.134010 10
neighborOf(united_states,south_sudan) 0.131776 3
neighborOf(united_states,dr_congo) 0.124216 4
neighborOf(united_states,tanzania) 0.120248 5
neighborOf(united_states,angola) 0.119847 6
neighborOf(united_states,zambia) 0.113094 7
neighborOf(united_states,serbia) 0.110028 8
neighborOf(united_states,central_african_republic) 0.107731 9
neighborOf(united_states,romania) 0.100843 10
neighborOf(united_states_minor_outlying_islands,russia) 0.167493 1
neighborOf(united_states_minor_outlying_islands,ivory_coast) 0.160684 2
neighborOf(united_states_minor_outlying_islands,uganda) 0.156265 3
neighborOf(united_states_minor_outlying_islands,nigeria) 0.155985 4
neighborOf(united_states_minor_outlying_islands,china) 0.155850 5
neighborOf(united_states_minor_outlying_islands,mali) 0.153030 6
neighborOf(united_states_minor_outlying_islands,niger) 0.150493 7
neighborOf(united_states_minor_outlying_islands,mauritania) 0.148901 8
neighborOf(united_states_minor_outlying_islands,south_sudan) 0.147113 9
neighborOf(united_states_minor_outlying_islands,chad) 0.145309 10
neighborOf(united_states_virgin_islands,brazil) 0.179082 1
neighborOf(united_states_virgin_islands,zambia) 0.151818 2
neighborOf(united_states_virgin_islands,argentina) 0.147330 3
neighborOf(united_states_virgin_islands,russia) 0.137357 4
neighborOf(united_states_virgin_islands,mali) 0.126399 5
neighborOf(united_states_virgin_islands,botswana) 0.125713 6
neighborOf(united_states_virgin_islands,uzbekistan) 0.120337 7
neighborOf(united_states_virgin_islands,ivory_coast) 0.119920 8
neighborOf(united_states_virgin_islands,namibia) 0.117570 9
neighborOf(united_states_virgin_islands,mauritania) 0.116522 10
neighborOf(uruguay,peru) 0.325421 3
neighborOf(uruguay,bolivia) 0.320023 4
neighborOf(uruguay,paraguay) 0.232699 5
neighborOf(uruguay,chile) 0.228729 6
neighborOf(uruguay,russia) 0.224264 7
neighborOf(uruguay,venezuela) 0.213936 8
neighborOf(uruguay,azerbaijan) 0.208486 9
neighborOf(uruguay,spain) 0.201030 10
neighborOf(uzbekistan,russia) 0.334480 6
neighborOf(uzbekistan,china) 0.305467 7
neighborOf(uzbekistan,pakistan) 0.287903 8
neighborOf(uzbekistan,france) 0.251391 9
neighborOf(uzbekistan,colombia) 0.249625 10
neighborOf(vanuatu,eritrea) 0.155521 1
neighborOf(vanuatu,ethiopia) 0.123580 2
neighborOf(vanuatu,china) 0.120437 3
neighborOf(vanuatu,poland) 0.119254 4
neighborOf(vanuatu,uganda) 0.110860 5
neighborOf(vanuatu,russia) 0.107803 6
neighborOf(vanuatu,south_sudan) 0.102463 7
neighborOf(vanuatu,south_georgia) 0.099187 8
neighborOf(vanuatu,somalia) 0.097352 9
neighborOf(vanuatu,iran) 0.096924 10
neighborOf(vatican_city,austria) 0.199165 2
neighborOf(vatican_city,hungary) 0.197826 3
neighborOf(vatican_city,russia) 0.197694 4
neighborOf(vatican_city,dr_congo) 0.195739 5
neighborOf(vatican_city,turkey) 0.194272 6
neighborOf(vatican_city,germany) 0.193736 7
neighborOf(vatican_city,belarus) 0.187734 8
neighborOf(vatican_city,ukraine) 0.181630 9
neighborOf(vatican_city,china) 0.180987 10
neighborOf(venezuela,bolivia) 0.335930 4
neighborOf(venezuela,peru) 0.294720 5
neighborOf(venezuela,argentina) 0.283547 6
neighborOf(venezuela,french_guiana) 0.273943 7
neighborOf(venezuela,uruguay) 0.223357 8
neighborOf(venezuela,russia) 0.203904 9
neighborOf(venezuela,paraguay) 0.202601 10
neighborOf(vietnam,myanmar) 0.358669 4
neighborOf(vietnam,india) 0.298214 5
neighborOf(vietnam,thailand) 0.265240 6
neighborOf(vietnam,afghanistan) 0.225391 7
neighborOf(vietnam,pakistan) 0.218365 8
neighborOf(vietnam,russia) 0.214880 9
neighborOf(vietnam,italy) 0.192613 10
neighborOf(wallis_and_futuna,chad) 0.176575 1
neighborOf(wallis_and_futuna,liberia) 0.158727 2
neighborOf(wallis_and_futuna,niger) 0.156670 3
neighborOf(wallis_and_futuna,south_africa) 0.156468 4
neighborOf(wallis_and_futuna,iran) 0.148023 5
neighborOf(wallis_and_futuna,ethiopia) 0.144390 6
neighborOf(wallis_and_futuna,central_african_republic) 0.140886 7
neighborOf(wallis_and_futuna,south_sudan) 0.136852 8
neighborOf(wallis_and_futuna,eritrea) 0.134228 9
neighborOf(wallis_and_futuna,afghanistan) 0.132704 10
neighborOf(western_sahara,libya) 0.277008 4
neighborOf(western_sahara,niger) 0.239547 5
neighborOf(western_sahara,egypt) 0.218901 6
neighborOf(western_sahara,brazil) 0.215118 7
neighborOf(western_sahara,mali) 0.211090 8
neighborOf(western_sahara,tunisia) 0.209350 9
neighborOf(western_sahara,central_african_republic) 0.201811 10
neighborOf(yemen,iraq) 0.243689 3
neighborOf(yemen,syria) 0.233351 4
neighborOf(yemen,azerbaijan) 0.220487 5
neighborOf(yemen,turkey) 0.203283 6
neighborOf(yemen,israel) 0.184699 7
neighborOf(yemen,georgia) 0.165235 8
neighborOf(yemen,armenia) 0.163699 9
neighborOf(yemen,palestine) 0.161243 10
neighborOf(zambia,south_sudan) 0.467824 9
neighborOf(zambia,south_africa) 0.412631 10
neighborOf(zimbabwe,namibia) 0.290638 5
neighborOf(zimbabwe,malawi) 0.243764 6
neighborOf(zimbabwe,tanzania) 0.231966 7
neighborOf(zimbabwe,angola) 0.208099 8
neighborOf(zimbabwe,chad) 0.201612 9
neighborOf(zimbabwe,south_sudan) 0.200052 10
neighborOf(kazakhstan,afghanistan) 0.435674 8
neighborOf(kyrgyzstan,afghanistan) 0.426632 9
neighborOf(myanmar,afghanistan) 0.365622 10
neighborOf(russia,aland_islands) 0.153592 1
neighborOf(croatia,aland_islands) 0.149540 2
neighborOf(turkey,aland_islands) 0.143317 3
neighborOf(montenegro,aland_islands) 0.140615 4
neighborOf(serbia,aland_islands) 0.133184 5
neighborOf(equatorial_guinea,aland_islands) 0.120867 6
neighborOf(mali,aland_islands) 0.120078 7
neighborOf(peru,aland_islands) 0.120052 8
neighborOf(china,aland_islands) 0.118326 9
neighborOf(ukraine,aland_islands) 0.116521 10
neighborOf(croatia,albania) 0.376773 5
neighborOf(serbia,albania) 0.349055 6
neighborOf(turkey,albania) 0.336901 7
neighborOf(romania,albania) 0.331848 8
neighborOf(hungary,albania) 0.300800 9
neighborOf(bosnia_and_herzegovina,albania) 0.295072 10
neighborOf(sudan,algeria) 0.355514 8
neighborOf(senegal,algeria) 0.338360 9
neighborOf(chad,algeria) 0.322509 10
neighborOf(ethiopia,american_samoa) 0.175978 1
neighborOf(south_sudan,american_samoa) 0.145429 2
neighborOf(kenya,american_samoa) 0.133177 3
neighborOf(ivory_coast,american_samoa) 0.131157 4
neighborOf(eritrea,american_samoa) 0.129915 5
neighborOf(chad,american_samoa) 0.128594 6
neighborOf(afghanistan,american_samoa) 0.127229 7
neighborOf(france,american_samoa) 0.125934 8
neighborOf(spain,american_samoa) 0.123598 9
neighborOf(dr_congo,american_samoa) 0.120403 10
neighborOf(china,andorra) 0.230900 3
neighborOf(luxembourg,andorra) 0.206017 4
neighborOf(switzerland,andorra) 0.201845 5
neighborOf(chad,andorra) 0.198786 6
neighborOf(afghanistan,andorra) 0.196868 7
neighborOf(italy,andorra) 0.195063 8
neighborOf(belgium,andorra) 0.191985 9
neighborOf(argentina,andorra) 0.185691 10
neighborOf(central_african_republic,angola) 0.384821 5
neighborOf(cameroon,angola) 0.352477 6
neighborOf(kenya,angola) 0.348681 7
neighborOf(malawi,angola) 0.344260 8
neighborOf(uganda,angola) 0.321338 9
neighborOf(chad,angola) 0.305225 10
neighborOf(kazakhstan,anguilla) 0.177212 1
neighborOf(serbia,anguilla) 0.170451 2
neighborOf(latvia,anguilla) 0.164222 3
neighborOf(mozambique,anguilla) 0.163216 4
neighborOf(brazil,anguilla) 0.163199 5
neighborOf(turkmenistan,anguilla) 0.150566 6
neighborOf(bolivia,anguilla) 0.148318 7
neighborOf(suriname,anguilla) 0.142914 8
neighborOf(azerbaijan,anguilla) 0.142630 9
neighborOf(georgia,anguilla) 0.140286 10
neighborOf(sudan,antigua_and_barbuda) 0.182186 1
neighborOf(uganda,antigua_and_barbuda) 0.169140 2
neighborOf(kenya,antigua_and_barbuda) 0.166899 3
neighborOf(dr_congo,antigua_and_barbuda) 0.164180 4
neighborOf(ethiopia,antigua_and_barbuda) 0.154856 5
neighborOf(russia,antigua_and_barbuda) 0.152147 6
neighborOf(ivory_coast,antigua_and_barbuda) 0.149031 7
neighborOf(brazil,antigua_and_barbuda) 0.148953 8
neighborOf(kosovo,antigua_and_barbuda) 0.147303 9
neighborOf(colombia,antigua_and_barbuda) 0.139447 10
neighborOf(peru,argentina) 0.399680 6
neighborOf(kazakhstan,argentina) 0.332066 7
neighborOf(venezuela,argentina) 0.283547 8
neighborOf(colombia,argentina) 0.274201 9
neighborOf(suriname,argentina) 0.268386 10
neighborOf(iraq,armenia) 0.387910 5
neighborOf(syria,armenia) 0.337138 6
neighborOf(china,armenia) 0.292460 7
neighborOf(saudi_arabia,armenia) 0.282367 8
neighborOf(lebanon,armenia) 0.237538 9
neighborOf(colombia,armenia) 0.237317 10
neighborOf(russia,aruba) 0.140608 1
neighborOf(uruguay,aruba) 0.120676 2
neighborOf(guinea,aruba) 0.118414 3
neighborOf(dominican_republic,aruba) 0.113818 4
neighborOf(algeria,aruba) 0.112932 5
neighborOf(mali,aruba) 0.107923 6
neighborOf(slovakia,aruba) 0.105464 7
neighborOf(poland,aruba) 0.105283 8
neighborOf(brazil,aruba) 0.102350 9
neighborOf(belarus,aruba) 0.100806 10
neighborOf(tanzania,australia) 0.143264 1
neighborOf(dr_congo,australia) 0.143122 2
neighborOf(belarus,australia) 0.118995 3
neighborOf(angola,australia) 0.118819 4
neighborOf(ethiopia,australia) 0.116584 5
neighborOf(iran,australia) 0.116340 6
neighborOf(namibia,australia) 0.115736 7
neighborOf(china,australia) 0.115395 8
neighborOf(uganda,australia) 0.114596 9
neighborOf(ukraine,australia) 0.114139 10
neighborOf(france,austria) 0.382994 9
neighborOf(ukraine,austria) 0.380558 10
neighborOf(iraq,azerbaijan) 0.366628 6
neighborOf(syria,azerbaijan) 0.327600 7
neighborOf(jordan,azerbaijan) 0.320616 8
neighborOf(lebanon,azerbaijan) 0.300298 9
neighborOf(saudi_arabia,azerbaijan) 0.279126 10
neighborOf(south_africa,bahamas) 0.140852 1
neighborOf(south_sudan,bahamas) 0.130244 2
neighborOf(azerbaijan,bahamas) 0.129842 3
neighborOf(croatia,bahamas) 0.123427 4
neighborOf(turkey,bahamas) 0.123210 5
neighborOf(kenya,bahamas) 0.121313 6
neighborOf(sudan,bahamas) 0.116248 7
neighborOf(oman,bahamas) 0.115691 8
neighborOf(pakistan,bahamas) 0.115099 9
neighborOf(armenia,bahamas) 0.113916 10
neighborOf(china,bahrain) 0.228399 1
neighborOf(russia,bahrain) 0.216023 2
neighborOf(mongolia,bahrain) 0.170701 3
neighborOf(india,bahrain) 0.159478 4
neighborOf(nepal,bahrain) 0.142785 5
neighborOf(afghanistan,bahrain) 0.140686 6
neighborOf(bhutan,bahrain) 0.140400 7
neighborOf(laos,bahrain) 0.136847 8
neighborOf(israel,bahrain) 0.133615 9
neighborOf(turkey,bahrain) 0.133470 10
neighborOf(china,bangladesh) 0.196910 3
neighborOf(afghanistan,bangladesh) 0.167261 4
neighborOf(bhutan,bangladesh) 0.163589 5
neighborOf(nepal,bangladesh) 0.162434 6
neighborOf(south_sudan,bangladesh) 0.160187 7
neighborOf(zambia,bangladesh) 0.160147 8
neighborOf(tajikistan,bangladesh) 0.155593 9
neighborOf(macau,bangladesh) 0.150166 10
neighborOf(russia,barbados) 0.155224 1
neighborOf(mali,barbados) 0.154054 2
neighborOf(ivory_coast,barbados) 0.147169 3
neighborOf(ireland,barbados) 0.143166 4
neighborOf(algeria,barbados) 0.136235 5
neighborOf(brazil,barbados) 0.126449 6
neighborOf(belarus,barbados) 0.126353 7
neighborOf(poland,barbados) 0.124815 8
neighborOf(chad,barbados) 0.123362 9
neighborOf(estonia,barbados) 0.121320 10
neighborOf(north_korea,belarus) 0.316537 6
neighborOf(slovakia,belarus) 0.289503 7
neighborOf(kazakhstan,belarus) 0.267260 8
neighborOf(finland,belarus) 0.256879 9
neighborOf(estonia,belarus) 0.249222 10
neighborOf(switzerland,belgium) 0.319594 5
neighborOf(austria,belgium) 0.304803 6
neighborOf(czechia,belgium) 0.284686 7
neighborOf(china,belgium) 0.263509 8
neighborOf(brazil,belgium) 0.250577 9
neighborOf(poland,belgium) 0.243714 10
neighborOf(namibia,belize) 0.215233 3
neighborOf(honduras,belize) 0.207334 4
neighborOf(south_sudan,belize) 0.180010 5
neighborOf(dr_congo,belize) 0.176546 6
neighborOf(myanmar,belize) 0.166632 7
neighborOf(bulgaria,belize) 0.165882 8
neighborOf(central_african_republic,belize) 0.164017 9
neighborOf(china,belize) 0.156734 10
neighborOf(mali,benin) 0.386849 5
neighborOf(ivory_coast,benin) 0.378209 6
neighborOf(mauritania,benin) 0.292261 7
neighborOf(chad,benin) 0.262647 8
neighborOf(libya,benin) 0.248229 9
neighborOf(senegal,benin) 0.244940 10
neighborOf(kosovo,bermuda) 0.154609 1
neighborOf(serbia,bermuda) 0.135475 2
neighborOf(russia,bermuda) 0.129305 3
neighborOf(bosnia_and_herzegovina,bermuda) 0.128086 4
neighborOf(south_africa,bermuda) 0.125100 5
neighborOf(bulgaria,bermuda) 0.120644 6
neighborOf(azerbaijan,bermuda) 0.119949 7
neighborOf(albania,bermuda) 0.116356 8
neighborOf(djibouti,bermuda) 0.115184 9
neighborOf(hungary,bermuda) 0.113717 10
neighborOf(myanmar,bhutan) 0.275616 3
neighborOf(laos,bhutan) 0.264401 4
neighborOf(pakistan,bhutan) 0.247795 5
neighborOf(afghanistan,bhutan) 0.247444 6
neighborOf(france,bhutan) 0.245587 7
neighborOf(russia,bhutan) 0.232347 8
neighborOf(mongolia,bhutan) 0.224094 9
neighborOf(tajikistan,bhutan) 0.202668 10
neighborOf(venezuela,bolivia) 0.335930 6
neighborOf(uruguay,bolivia) 0.320023 7
neighborOf(suriname,bolivia) 0.244075 8
neighborOf(germany,bolivia) 0.212085 9
neighborOf(algeria,bolivia) 0.210883 10
neighborOf(macedonia,bosnia_and_herzegovina) 0.317790 4
neighborOf(albania,bosnia_and_herzegovina) 0.291564 5
neighborOf(romania,bosnia_and_herzegovina) 0.280888 6
neighborOf(hungary,bosnia_and_herzegovina) 0.248717 7
neighborOf(kosovo,bosnia_and_herzegovina) 0.234468 8
neighborOf(greece,bosnia_and_herzegovina) 0.215547 9
neighborOf(chad,bosnia_and_herzegovina) 0.203901 10
neighborOf(mozambique,botswana) 0.474428 5
neighborOf(malawi,botswana) 0.302413 6
neighborOf(dr_congo,botswana) 0.285863 7
neighborOf(angola,botswana) 0.284505 8
neighborOf(tanzania,botswana) 0.250522 9
neighborOf(central_african_republic,botswana) 0.244895 10
neighborOf(south_africa,british_indian_ocean_territory) 0.181796 1
neighborOf(rwanda,british_indian_ocean_territory) 0.180939 2
neighborOf(tanzania,british_indian_ocean_territory) 0.169959 3
neighborOf(zambia,british_indian_ocean_territory) 0.164350 4
neighborOf(central_african_republic,british_indian_ocean_territory) 0.131057 5
neighborOf(sudan,british_indian_ocean_territory) 0.130609 6
neighborOf(cameroon,british_indian_ocean_territory) 0.129536 7
neighborOf(chad,british_indian_ocean_territory) 0.127775 8
neighborOf(south_sudan,british_indian_ocean_territory) 0.126700 9
neighborOf(croatia,british_indian_ocean_territory) 0.123875 10
neighborOf(dominican_republic,british_virgin_islands) 0.141846 1
neighborOf(argentina,british_virgin_islands) 0.139123 2
neighborOf(latvia,british_virgin_islands) 0.134813 3
neighborOf(russia,british_virgin_islands) 0.129577 4
neighborOf(kosovo,british_virgin_islands) 0.129353 5
neighborOf(brazil,british_virgin_islands) 0.127751 6
neighborOf(serbia,british_virgin_islands) 0.121523 7
neighborOf(mali,british_virgin_islands) 0.116946 8
neighborOf(guinea,british_virgin_islands) 0.114689 9
neighborOf(zambia,british_virgin_islands) 0.114470 10
neighborOf(china,brunei) 0.265616 2
neighborOf(russia,brunei) 0.205460 3
neighborOf(laos,brunei) 0.183845 4
neighborOf(mongolia,brunei) 0.165674 5
neighborOf(colombia,brunei) 0.157887 6
neighborOf(cambodia,brunei) 0.139928 7
neighborOf(india,brunei) 0.136913 8
neighborOf(turkey,brunei) 0.136058 9
neighborOf(saint_martin,brunei) 0.134861 10
neighborOf(montenegro,bulgaria) 0.340155 6
neighborOf(albania,bulgaria) 0.301453 7
neighborOf(kosovo,bulgaria) 0.294622 8
neighborOf(croatia,bulgaria) 0.277400 9
neighborOf(hungary,bulgaria) 0.272818 10
neighborOf(liberia,burkina_faso) 0.340502 7
neighborOf(nigeria,burkina_faso) 0.314137 8
neighborOf(senegal,burkina_faso) 0.308709 9
neighborOf(guinea,burkina_faso) 0.287869 10
neighborOf(south_sudan,burundi) 0.367818 4
neighborOf(kenya,burundi) 0.357090 5
neighborOf(uganda,burundi) 0.324807 6
neighborOf(angola,burundi) 0.315434 7
neighborOf(zambia,burundi) 0.307976 8
neighborOf(central_african_republic,burundi) 0.225676 9
neighborOf(cameroon,burundi) 0.214259 10
neighborOf(china,cambodia) 0.318709 4
neighborOf(myanmar,cambodia) 0.271814 5
neighborOf(pakistan,cambodia) 0.230408 6
neighborOf(india,cambodia) 0.227509 7
neighborOf(russia,cambodia) 0.221879 8
neighborOf(ukraine,cambodia) 0.208663 9
neighborOf(nepal,cambodia) 0.202867 10
neighborOf(angola,cameroon) 0.354701 7
neighborOf(dr_congo,cameroon) 0.345654 8
neighborOf(south_sudan,cameroon) 0.315995 9
neighborOf(sudan,cameroon) 0.298740 10
neighborOf(zambia,canada) 0.144076 2
neighborOf(mali,canada) 0.134902 3
neighborOf(dr_congo,canada) 0.127610 4
neighborOf(bhutan,canada) 0.119556 5
neighborOf(russia,canada) 0.112704 6
neighborOf(south_sudan,canada) 0.110534 7
neighborOf(ukraine,canada) 0.110483 8
neighborOf(namibia,canada) 0.108869 9
neighborOf(chad,canada) 0.108719 10
neighborOf(senegal,cape_verde) 0.214914 1
neighborOf(mali,cape_verde) 0.200817 2
neighborOf(guinea,cape_verde) 0.179814 3
neighborOf(algeria,cape_verde) 0.155525 4
neighborOf(benin,cape_verde) 0.155312 5
neighborOf(ivory_coast,cape_verde) 0.148175 6
neighborOf(niger,cape_verde) 0.143566 7
neighborOf(ethiopia,cape_verde) 0.139044 8
neighborOf(portugal,cape_verde) 0.136990 9
neighborOf(peru,cape_verde) 0.133186 10
neighborOf(russia,cayman_islands) 0.208821 1
neighborOf(brazil,cayman_islands) 0.208204 2
neighborOf(italy,cayman_islands) 0.199763 3
neighborOf(argentina,cayman_islands) 0.170174 4
neighborOf(ukraine,cayman_islands) 0.166290 5
neighborOf(hungary,cayman_islands) 0.162508 6
neighborOf(bolivia,cayman_islands) 0.161743 7
neighborOf(switzerland,cayman_islands) 0.161622 8
neighborOf(belarus,cayman_islands) 0.156705 9
neighborOf(colombia,cayman_islands) 0.155688 10
neighborOf(angola,central_african_republic) 0.381647 7
neighborOf(zambia,central_african_republic) 0.377619 8
neighborOf(ethiopia,central_african_republic) 0.346165 9
neighborOf(uganda,central_african_republic) 0.323470 10
neighborOf(republic_of_the_congo,chad) 0.397793 8
neighborOf(algeria,chad) 0.329696 9
neighborOf(dr_congo,chad) 0.319200 10
neighborOf(brazil,chile) 0.347388 4
neighborOf(paraguay,chile) 0.280303 5
neighborOf(colombia,chile) 0.257901 6
neighborOf(uruguay,chile) 0.228729 7
neighborOf(suriname,chile) 0.183856 8
neighborOf(russia,chile) 0.178712 9
neighborOf(morocco,chile) 0.163551 10
neighborOf(france,christmas_island) 0.163346 1
neighborOf(afghanistan,christmas_island) 0.152454 2
neighborOf(germany,christmas_island) 0.152019 3
neighborOf(paraguay,christmas_island) 0.131097 4
neighborOf(tanzania,christmas_island) 0.130806 5
neighborOf(saint_martin,christmas_island) 0.130159 6
neighborOf(nepal,christmas_island) 0.126220 7
neighborOf(belarus,christmas_island) 0.125099 8
neighborOf(iran,christmas_island) 0.120510 9
neighborOf(chad,christmas_island) 0.118132 10
neighborOf(germany,cocos_keeling_islands) 0.145186 1
neighborOf(china,cocos_keeling_islands) 0.126472 2
neighborOf(ethiopia,cocos_keeling_islands) 0.123873 3
neighborOf(myanmar,cocos_keeling_islands) 0.116614 4
neighborOf(france,cocos_keeling_islands) 0.115671 5
neighborOf(russia,cocos_keeling_islands) 0.113074 6
neighborOf(austria,cocos_keeling_islands) 0.106807 7
neighborOf(india,cocos_keeling_islands) 0.106409 8
neighborOf(saint_martin,cocos_keeling_islands) 0.105689 9
neighborOf(iran,cocos_keeling_islands) 0.104572 10
neighborOf(paraguay,colombia) 0.297962 6
neighborOf(argentina,colombia) 0.270443 7
neighborOf(chile,colombia) 0.269929 8
neighborOf(uzbekistan,colombia) 0.249625 9
neighborOf(south_sudan,colombia) 0.249477 10
neighborOf(zambia,comoros) 0.195398 1
neighborOf(angola,comoros) 0.180366 2
neighborOf(dr_congo,comoros) 0.177859 3
neighborOf(tanzania,comoros) 0.170931 4
neighborOf(south_sudan,comoros) 0.141248 5
neighborOf(somalia,comoros) 0.135833 6
neighborOf(central_african_republic,comoros) 0.132662 7
neighborOf(mozambique,comoros) 0.132634 8
neighborOf(ethiopia,comoros) 0.131393 9
neighborOf(sudan,comoros) 0.131058 10
neighborOf(china,cook_islands) 0.145156 1
neighborOf(zambia,cook_islands) 0.136841 2
neighborOf(bulgaria,cook_islands) 0.130549 3
neighborOf(namibia,cook_islands) 0.118611 4
neighborOf(montenegro,cook_islands) 0.112880 5
neighborOf(burkina_faso,cook_islands) 0.111778 6
neighborOf(poland,cook_islands) 0.107426 7
neighborOf(south_sudan,cook_islands) 0.106753 8
neighborOf(iran,cook_islands) 0.104771 9
neighborOf(greece,cook_islands) 0.104696 10
neighborOf(china,costa_rica) 0.148038 3
neighborOf(france,costa_rica) 0.143344 4
neighborOf(guatemala,costa_rica) 0.138268 5
neighborOf(mongolia,costa_rica) 0.120085 6
neighborOf(brazil,costa_rica) 0.118645 7
neighborOf(nepal,costa_rica) 0.118299 8
neighborOf(peru,costa_rica) 0.118298 9
neighborOf(brunei,costa_rica) 0.116842 10
neighborOf(kosovo,croatia) 0.380601 6
neighborOf(albania,croatia) 0.372348 7
neighborOf(romania,croatia) 0.346535 8
neighborOf(greece,croatia) 0.342112 9
neighborOf(macedonia,croatia) 0.310270 10
neighborOf(russia,cuba) 0.163599 1
neighborOf(hungary,cuba) 0.136971 2
neighborOf(croatia,cuba) 0.134314 3
neighborOf(argentina,cuba) 0.134018 4
neighborOf(romania,cuba) 0.124345 5
neighborOf(south_sudan,cuba) 0.122555 6
neighborOf(brazil,cuba) 0.117154 7
neighborOf(ukraine,cuba) 0.114513 8
neighborOf(pakistan,cuba) 0.110953 9
neighborOf(peru,cuba) 0.110800 10
neighborOf(ukraine,curacao) 0.145897 1
neighborOf(malaysia,curacao) 0.145896 2
neighborOf(serbia,curacao) 0.142383 3
neighborOf(turkey,curacao) 0.141740 4
neighborOf(romania,curacao) 0.135200 5
neighborOf(peru,curacao) 0.133408 6
neighborOf(armenia,curacao) 0.133208 7
neighborOf(russia,curacao) 0.132921 8
neighborOf(macedonia,curacao) 0.124939 9
neighborOf(brazil,curacao) 0.124545 10
neighborOf(france,cyprus) 0.172850 1
neighborOf(poland,cyprus) 0.166300 2
neighborOf(italy,cyprus) 0.160792 3
neighborOf(romania,cyprus) 0.151202 4
neighborOf(hungary,cyprus) 0.149716 5
neighborOf(chad,cyprus) 0.146773 6
neighborOf(russia,cyprus) 0.144106 7
neighborOf(belarus,cyprus) 0.137998 8
neighborOf(austria,cyprus) 0.134785 9
neighborOf(kosovo,cyprus) 0.134555 10
neighborOf(ukraine,czechia) 0.355166 5
neighborOf(russia,czechia) 0.322122 6
neighborOf(switzerland,czechia) 0.305464 7
neighborOf(france,czechia) 0.294993 8
neighborOf(belgium,czechia) 0.294050 9
neighborOf(italy,czechia) 0.291957 10
neighborOf(austria,denmark) 0.151603 2
neighborOf(france,denmark) 0.137974 3
neighborOf(belgium,denmark) 0.122817 4
neighborOf(italy,denmark) 0.115787 5
neighborOf(czechia,denmark) 0.103978 6
neighborOf(switzerland,denmark) 0.102058 7
neighborOf(luxembourg,denmark) 0.098184 8
neighborOf(south_sudan,denmark) 0.087654 9
neighborOf(slovakia,denmark) 0.087266 10
neighborOf(south_sudan,djibouti) 0.276523 4
neighborOf(central_african_republic,djibouti) 0.251474 5
neighborOf(kenya,djibouti) 0.246962 6
neighborOf(uganda,djibouti) 0.240767 7
neighborOf(iran,djibouti) 0.196221 8
neighborOf(georgia,djibouti) 0.179550 9
neighborOf(azerbaijan,djibouti) 0.171328 10
neighborOf(mali,dominica) 0.142727 1
neighborOf(pakistan,dominica) 0.140601 2
neighborOf(kosovo,dominica) 0.130126 3
neighborOf(russia,dominica) 0.129154 4
neighborOf(azerbaijan,dominica) 0.127145 5
neighborOf(china,dominica) 0.123613 6
neighborOf(egypt,dominica) 0.122549 7
neighborOf(ukraine,dominica) 0.121431 8
neighborOf(france,dominica) 0.120207 9
neighborOf(niger,dominica) 0.120046 10
neighborOf(kazakhstan,dominican_republic) 0.214313 2
neighborOf(brazil,dominican_republic) 0.185647 3
neighborOf(china,dominican_republic) 0.166524 4
neighborOf(uruguay,dominican_republic) 0.159276 5
neighborOf(ukraine,dominican_republic) 0.149624 6
neighborOf(bolivia,dominican_republic) 0.149442 7
neighborOf(uzbekistan,dominican_republic) 0.144878 8
neighborOf(french_guiana,dominican_republic) 0.140824 9
neighborOf(trinidad_and_tobago,dominican_republic) 0.139394 10
neighborOf(kenya,dr_congo) 0.387973 10
neighborOf(turkey,ecuador) 0.183185 3
neighborOf(central_african_republic,ecuador) 0.175563 4
neighborOf(uruguay,ecuador) 0.164859 5
neighborOf(bolivia,ecuador) 0.153740 6
neighborOf(morocco,ecuador) 0.153699 7
neighborOf(china,ecuador) 0.152251 8
neighborOf(south_sudan,ecuador) 0.148044 9
neighborOf(argentina,ecuador) 0.146856 10
neighborOf(niger,egypt) 0.334913 5
neighborOf(algeria,egypt) 0.263076 6
neighborOf(lebanon,egypt) 0.261581 7
neighborOf(nigeria,egypt) 0.254899 8
neighborOf(chad,egypt) 0.243438 9
neighborOf(iraq,egypt) 0.222378 10
neighborOf(zimbabwe,el_salvador) 0.175148 3
neighborOf(afghanistan,el_salvador) 0.171589 4
neighborOf(ivory_coast,el_salvador) 0.155959 5
neighborOf(namibia,el_salvador) 0.154449 6
neighborOf(south_sudan,el_salvador) 0.150701 7
neighborOf(argentina,el_salvador) 0.149028 8
neighborOf(france,el_salvador) 0.147367 9
neighborOf(mali,el_salvador) 0.141596 10
neighborOf(republic_of_the_congo,equatorial_guinea) 0.295845 3
neighborOf(dr_congo,equatorial_guinea) 0.247786 4
