process_of(experimental_model_of_disease,natural_phenomenon_or_process) 3
isa(eicosanoid,lipid) 3
process_of(experimental_model_of_disease,plant) 5
produces(professional_or_occupational_group,clinical_drug) 5
result_of(organ_or_tissue_function,experimental_model_of_disease) 2
location_of(gene_or_genome,mental_or_behavioral_dysfunction) 2
isa(cell_function,physiologic_function) -1
result_of(organism_attribute,natural_phenomenon_or_process) 2
affects(biologic_function,experimental_model_of_disease) 1
result_of(organism_function,acquired_abnormality) 3
process_of(physiologic_function,experimental_model_of_disease) 1
result_of(neoplastic_process,molecular_function) 1
complicates(pharmacologic_substance,mental_process) 5
treats(therapeutic_or_preventive_procedure,anatomical_abnormality) 5
performs(professional_or_occupational_group,therapeutic_or_preventive_procedure) 5
affects(genetic_function,bacterium) 2
property_of(clinical_attribute,bacterium) 5
location_of(anatomical_abnormality,pathologic_function) 3
isa(tissue,entity) 7
affects(physiologic_function,natural_phenomenon_or_process) 2
result_of(neoplastic_process,diagnostic_procedure) 2
process_of(organ_or_tissue_function,disease_or_syndrome) 2
interacts_with(lipid,hazardous_or_poisonous_substance) 3
result_of(organism_function,phenomenon_or_process) 2
interacts_with(biomedical_or_dental_material,neuroreactive_substance_or_biogenic_amine) 3
part_of(anatomical_structure,fungus) 5
isa(reptile,physical_object) 2
process_of(pathologic_function,fish) 4
part_of(anatomical_abnormality,virus) 5
affects(cell_component,cell_function) 5
part_of(cell,human) 5
process_of(physiologic_function,virus) 2
affects(experimental_model_of_disease,bacterium) 2
complicates(immunologic_factor,organ_or_tissue_function) 5
causes(element_ion_or_isotope,anatomical_abnormality) 5
part_of(tissue,fish) 3
issue_in(classification,occupation_or_discipline) -1
result_of(injury_or_poisoning,biologic_function) 2
manifestation_of(laboratory_or_test_result,injury_or_poisoning) 2
measures(diagnostic_procedure,lipid) 5
part_of(embryonic_structure,mammal) 5
produces(self_help_or_relief_organization,regulation_or_law) 5
causes(hazardous_or_poisonous_substance,neoplastic_process) 5
causes(eicosanoid,congenital_abnormality) 5
process_of(physiologic_function,archaeon) 2
location_of(fully_formed_anatomical_structure,experimental_model_of_disease) 5
affects(nucleic_acid_nucleoside_or_nucleotide,neoplastic_process) 4
associated_with(health_care_activity,experimental_model_of_disease) 5
location_of(body_space_or_junction,cell_component) 3
causes(body_substance,injury_or_poisoning) 5
performs(patient_or_disabled_group,occupational_activity) 5
result_of(mental_or_behavioral_dysfunction,cell_function) 2
isa(fully_formed_anatomical_structure,physical_object) 2
causes(drug_delivery_device,anatomical_abnormality) 5
associated_with(social_behavior,family_group) 10
affects(genetic_function,archaeon) 3
disrupts(pharmacologic_substance,genetic_function) 5
performs(patient_or_disabled_group,research_activity) 5
produces(organism_function,body_substance) 5
produces(organism_function,family_group) -1
process_of(mental_process,disease_or_syndrome) 1
location_of(body_space_or_junction,body_substance) -1
causes(vitamin,cell_or_molecular_dysfunction) -1
affects(biologic_function,organism) 2
affects(pathologic_function,organism_function) 2
manifestation_of(experimental_model_of_disease,pathologic_function) 1
result_of(nucleotide_sequence,mental_process) -1
result_of(injury_or_poisoning,health_care_activity) 2
process_of(mental_process,natural_phenomenon_or_process) 1
affects(pharmacologic_substance,organism_function) 2
exhibits(professional_or_occupational_group,individual_behavior) 5
measures(diagnostic_procedure,organophosphorus_compound) 5
interacts_with(organophosphorus_compound,pharmacologic_substance) 3
result_of(pathologic_function,molecular_function) 2
issue_in(event,biomedical_occupation_or_discipline) -1
complicates(pharmacologic_substance,cell_or_molecular_dysfunction) 2
interacts_with(chemical_viewed_structurally,eicosanoid) 3
affects(neuroreactive_substance_or_biogenic_amine,biologic_function) 2
affects(cell_or_molecular_dysfunction,archaeon) 2
assesses_effect_of(diagnostic_procedure,antibiotic) 5
result_of(neoplastic_process,health_care_activity) 2
associated_with(health_care_activity,acquired_abnormality) 5
disrupts(enzyme,mental_process) -1
affects(cell_function,mental_or_behavioral_dysfunction) 2
associated_with(neoplastic_process,clinical_attribute) 3
complicates(antibiotic,pathologic_function) 3
affects(pathologic_function,natural_phenomenon_or_process) 2
isa(genetic_function,natural_phenomenon_or_process) 7
isa(human,entity) 5
occurs_in(cell_or_molecular_dysfunction,family_group) 4
result_of(mental_or_behavioral_dysfunction,environmental_effect_of_humans) 2
affects(acquired_abnormality,mammal) 2
result_of(biologic_function,mental_process) 1
produces(experimental_model_of_disease,neuroreactive_substance_or_biogenic_amine) 10
isa(reptile,organism) 3
process_of(physiologic_function,animal) 4
disrupts(hazardous_or_poisonous_substance,embryonic_structure) 5
carries_out(organization,diagnostic_procedure) -1
affects(regulation_or_law,group) -1
performs(professional_or_occupational_group,social_behavior) 5
complicates(hazardous_or_poisonous_substance,experimental_model_of_disease) 5
produces(fully_formed_anatomical_structure,hormone) 10
interacts_with(organic_chemical,amino_acid_peptide_or_protein) 5
produces(cell_function,neuroreactive_substance_or_biogenic_amine) 5
location_of(cell_component,molecular_function) 5
assesses_effect_of(diagnostic_procedure,vitamin) 5
indicates(laboratory_or_test_result,injury_or_poisoning) -1
isa(manufactured_object,entity) 5
disrupts(antibiotic,organ_or_tissue_function) 5
diagnoses(diagnostic_procedure,disease_or_syndrome) -1
occurs_in(cell_or_molecular_dysfunction,injury_or_poisoning) 2
measures(laboratory_procedure,vitamin) 5
performs(patient_or_disabled_group,health_care_activity) -1
produces(molecular_function,body_substance) 5
prevents(therapeutic_or_preventive_procedure,neoplastic_process) -1
precedes(neoplastic_process,disease_or_syndrome) 2
method_of(educational_activity,biomedical_occupation_or_discipline) -1
performs(patient_or_disabled_group,behavior) 5
manifestation_of(finding,genetic_function) 2
affects(organophosphorus_compound,cell_or_molecular_dysfunction) 2
complicates(hormone,experimental_model_of_disease) 5
affects(diagnostic_procedure,neoplastic_process) 2
affects(therapeutic_or_preventive_procedure,organ_or_tissue_function) 2
interacts_with(carbohydrate,neuroreactive_substance_or_biogenic_amine) 2
isa(element_ion_or_isotope,entity) 4
analyzes(laboratory_procedure,steroid) -1
contains(gene_or_genome,body_substance) -1
affects(experimental_model_of_disease,mammal) 2
interacts_with(chemical_viewed_structurally,receptor) 4
associated_with(social_behavior,professional_or_occupational_group) 5
result_of(injury_or_poisoning,behavior) 2
produces(organization,intellectual_product) 10
affects(organophosphorus_compound,genetic_function) 2
interacts_with(neuroreactive_substance_or_biogenic_amine,receptor) 4
part_of(embryonic_structure,cell) 3
isa(food,entity) -1
result_of(clinical_attribute,phenomenon_or_process) 2
associated_with(individual_behavior,professional_or_occupational_group) 5
manifestation_of(pathologic_function,organ_or_tissue_function) 2
prevents(drug_delivery_device,mental_or_behavioral_dysfunction) 5
complicates(pharmacologic_substance,organism_function) 5
process_of(genetic_function,organism) 3
process_of(neoplastic_process,mammal) 2
part_of(body_part_organ_or_organ_component,mammal) 5
isa(neuroreactive_substance_or_biogenic_amine,chemical) 5
causes(amino_acid_peptide_or_protein,disease_or_syndrome) 5
result_of(congenital_abnormality,natural_phenomenon_or_process) 2
affects(organism_function,plant) 3
disrupts(vitamin,cell_component) 10
affects(enzyme,natural_phenomenon_or_process) 2
result_of(genetic_function,phenomenon_or_process) 1
result_of(cell_or_molecular_dysfunction,health_care_activity) 2
disrupts(biologically_active_substance,physiologic_function) 5
causes(neuroreactive_substance_or_biogenic_amine,injury_or_poisoning) 5
isa(biologically_active_substance,substance) 5
affects(disease_or_syndrome,organism_function) 3
causes(organophosphorus_compound,pathologic_function) 5
isa(neoplastic_process,event) -1
prevents(pharmacologic_substance,cell_or_molecular_dysfunction) 5
measures(laboratory_procedure,antibiotic) 5
location_of(cell,body_space_or_junction) 3
part_of(congenital_abnormality,fish) 5
isa(mental_or_behavioral_dysfunction,biologic_function) 3
disrupts(injury_or_poisoning,gene_or_genome) 5
result_of(acquired_abnormality,cell_function) 2
issue_in(gene_or_genome,biomedical_occupation_or_discipline) -1
manifestation_of(experimental_model_of_disease,organ_or_tissue_function) 2
associated_with(behavior,population_group) 5
interacts_with(fish,archaeon) 5
associated_with(laboratory_procedure,disease_or_syndrome) 5
performs(population_group,individual_behavior) 5
associated_with(neoplastic_process,cell_or_molecular_dysfunction) 3
part_of(cell,fish) 2
result_of(organism_function,cell_function) 1
manages(health_care_related_organization,patient_or_disabled_group) -1
measures(diagnostic_procedure,experimental_model_of_disease) -1
isa(steroid,chemical_viewed_structurally) 5
result_of(acquired_abnormality,mental_process) 2
isa(occupational_activity,activity) 3
evaluation_of(laboratory_or_test_result,biologic_function) 5
evaluation_of(qualitative_concept,educational_activity) -1
isa(embryonic_structure,physical_object) 5
performs(group,activity) 5
degree_of(organism_function,mental_process) 1
affects(antibiotic,biologic_function) 2
result_of(environmental_effect_of_humans,injury_or_poisoning) 3
developmental_form_of(tissue,body_part_organ_or_organ_component) -1
affects(inorganic_chemical,cell_function) 2
result_of(acquired_abnormality,anatomical_abnormality) 2
interacts_with(carbohydrate,biologically_active_substance) 4
associated_with(research_activity,disease_or_syndrome) 3
result_of(natural_phenomenon_or_process,organism_function) 1
process_of(experimental_model_of_disease,organism_function) 2
complicates(enzyme,biologic_function) 5
process_of(natural_phenomenon_or_process,mental_process) 1
location_of(fully_formed_anatomical_structure,mental_process) 5
causes(chemical_viewed_functionally,cell_or_molecular_dysfunction) -1
location_of(plant,biologically_active_substance) 5
causes(biologically_active_substance,cell_or_molecular_dysfunction) 5
issue_in(diagnostic_procedure,occupation_or_discipline) 5
treats(drug_delivery_device,disease_or_syndrome) -1
result_of(acquired_abnormality,genetic_function) 2
interacts_with(biomedical_or_dental_material,enzyme) 2
property_of(organism_attribute,vertebrate) -1
